,country,page,revid,prediction,Name,Population
488,Czech Republic,Julius Gregr,395521877,Stub,,
489,Czech Republic,Edvard Gregr,395526568,Stub,,
490,Czech Republic,Miroslav Poche,672862914,Stub,,
491,Czech Republic,Vojtěch Mynář,673008587,Stub,,
492,Czech Republic,Jan Malypetr,704424304,Stub,,
493,Czech Republic,Emanuel Moravec,705080136,Start,,
494,Czech Republic,Vladimír Hučín,707597623,Start,,
495,Czech Republic,Pavla Topolánková,709676840,Start,,
496,Czech Republic,Josef Barák,711675761,Stub,,
497,Czech Republic,Antonín Švehla,712426548,Stub,,
498,Czech Republic,Jakob Marzel Sternberger,713698544,Stub,,
499,Czech Republic,Alois Anderka,714174726,Stub,,
500,Czech Republic,Ivan Dejmal,715467197,Start,,
501,Czech Republic,Franz Macoun,715640391,Stub,,
502,Czech Republic,Karel Urbánek,716711851,Stub,,
503,Czech Republic,Vladimír Klokočka,717429365,Start,,
504,Czech Republic,Jaromír Jermář,720027362,Stub,,
505,Czech Republic,Artur London,721736524,Start,,
506,Czech Republic,František Sláma (politician),722937211,Stub,,
507,Czech Republic,Jan Kubice,723151837,Stub,,
508,Czech Republic,Kamil Jankovský,723207013,Stub,,
509,Czech Republic,Václav Vacek,724691268,Stub,,
510,Czech Republic,Čestmír Císař,725362978,C,,
511,Czech Republic,Luca Rovinalti,726666131,Stub,,
512,Czech Republic,Kamil Krofta,726762194,Start,,
513,Czech Republic,Milan Štěch,728506208,Stub,,
514,Czech Republic,Antonín Janoušek,729912438,Stub,,
515,Czech Republic,Bedřich Geminder,730146355,Stub,,
516,Czech Republic,Karel Domin,735174171,Start,,
517,Czech Republic,Hubert Ripka,737562321,Start,,
518,Czech Republic,Tomáš Eduard Šilinger,741588720,Stub,,
519,Czech Republic,Petr Janyška,741798984,Stub,,
520,Czech Republic,Jana Juřenčáková,743423675,Stub,,
521,Czech Republic,Jaromír Nečas,744448745,Stub,,
522,Czech Republic,Siegfried Taub,744612257,Start,,
523,Czech Republic,Záviš Kalandra,746707985,Stub,,
524,Czech Republic,Alois Rašín,749575931,Start,,
525,Czech Republic,Bedřich Reicin,749945936,Start,,
526,Czech Republic,Bernd Richter,751718674,Stub,,
527,Czech Republic,Kamil Kalina,753045804,Stub,,
528,Czech Republic,Richard Sacher,755428089,Stub,,
529,Czech Republic,Václav Fischer,756317863,Start,,
530,Czech Republic,Božena Viková-Kunětická,757336278,Stub,,
531,Czech Republic,Mikuláš of Hus,758942647,Stub,,
532,Czech Republic,Gertruda Sekaninová-Čakrtová,759446334,GA,,
533,Czech Republic,Petr Mlsna,765838180,Stub,,
534,Czech Republic,Antonín Cyril Stojan,768047769,C,,
535,Czech Republic,František Kubka,768676716,Stub,,
536,Czech Republic,Josef Pfitzner,773853256,Start,,
537,Czech Republic,Vladimír Franz,774595725,C,,
538,Czech Republic,Jan Stocklassa,776095794,Stub,,
539,Czech Republic,Jaroslav Krejčí,776197284,Start,,
540,Czech Republic,Libuše Benešová,776338134,Stub,,
541,Czech Republic,Daniela Filipiová,776338195,Start,,
542,Czech Republic,Moses Porges von Portheim,776487173,Start,,
543,Czech Republic,Jan Kasl,776508129,Start,,
544,Czech Republic,Jiří Kittner,776509425,Stub,,
545,Czech Republic,Miloslav Vlček,776513404,Stub,,
546,Czech Republic,Ivo Svoboda (politician),776513552,Start,,
547,Czech Republic,Hana Orgoníková,776513802,Stub,,
548,Czech Republic,Pavel Dostál,776514175,Start,,
549,Czech Republic,Jiří Lobkowicz,776751749,Stub,,
550,Czech Republic,Bohuslav Kokotek,777876483,Stub,,
551,Czech Republic,Alena Hanáková,778095433,Stub,,
552,Czech Republic,Irena Kočí,779417455,Stub,,
553,Czech Republic,Martin Netolický,779417738,Stub,,
554,Czech Republic,David Rath,779418369,Start,,
555,Czech Republic,Eva Nováková,779498276,Stub,,
556,Czech Republic,Vojtěch Adam,779500408,Stub,,
557,Czech Republic,Vlastimil Balín,779500749,Stub,,
558,Czech Republic,Jiří Dolejš,779500957,Stub,,
559,Czech Republic,Zuzka Bebarová-Rujbrová,779501010,Stub,,
560,Czech Republic,Marie Stiborová,779501096,Start,,
561,Czech Republic,Jiří Svoboda (politician),779501161,Stub,,
562,Czech Republic,Miloslava Vostrá,779501194,Stub,,
563,Czech Republic,Jiří Čeřovský,779501654,Stub,,
564,Czech Republic,Jan Korger,779501783,Stub,,
565,Czech Republic,Kateřina Jacques,779581127,C,,
566,Czech Republic,Tomáš Chalupa,779839245,Stub,,
567,Czech Republic,Pavel Blažek,779839319,Stub,,
568,Czech Republic,Aleš Řebíček,779839400,Stub,,
569,Czech Republic,Ivan Langer,779839455,Start,,
570,Czech Republic,Jan Stráský,779839492,Start,,
571,Czech Republic,Jan Chvojka,779842639,Stub,,
572,Czech Republic,Marie Benešová,779847262,Stub,,
573,Czech Republic,Juraj Chmiel,779847492,Stub,,
574,Czech Republic,Daniela Kovářová,779847531,Stub,,
575,Czech Republic,Rostislav Vondruška,779847687,Stub,,
576,Czech Republic,Martin Štěpánek (actor),779847799,Start,,
577,Czech Republic,Helena Třeštíková,779847837,Stub,,
578,Czech Republic,Milena Vicenová,779847883,Stub,,
579,Czech Republic,Jaroslav Bašta,779848743,Stub,,
580,Czech Republic,Josef Lux,779849059,Stub,,
581,Czech Republic,Miroslav Macek,779849258,Stub,,
582,Czech Republic,Ladislav Miko,779849694,Stub,,
583,Czech Republic,Džamila Stehlíková,779849767,Stub,,
584,Czech Republic,Jozef Moravčík,780051829,Stub,,
585,Czech Republic,Milan Uhde,780321961,Stub,,
586,Czech Republic,František Pitra,780534080,Stub,,
587,Czech Republic,Oldřich Černík,780534267,Stub,,
588,Czech Republic,Otakar Motejl,780868492,Start,,
589,Czech Republic,Ludwig Czech,780887131,Stub,,
590,Czech Republic,Rudolf Beran,780921783,Start,,
591,Czech Republic,Victor Adler,782058966,Start,,
592,Czech Republic,Emil Beier,782384016,Stub,,
593,Czech Republic,Bruno Kafka,783065752,Stub,,
594,Czech Republic,Lucie Talmanová,783711789,Start,,
595,Czech Republic,Martin Mejstřík,783737915,Stub,,
596,Czech Republic,Vlastimil Tusar,784145485,Start,,
597,Czech Republic,Petr Bendl,784826685,Start,,
598,Czech Republic,Petr Gandalovič,784826720,Start,,
599,Czech Republic,Tomáš Vandas,784968648,Start,,
600,Czech Republic,Robert Mayr-Harting,785085345,Stub,,
601,Czech Republic,Karel Havlíček Borovský,785407597,C,,
602,Czech Republic,Jan Černý,786162238,Start,,
603,Czech Republic,Josef Frank (politician),786399604,Stub,,
604,Czech Republic,Philip Kinsky of Wchinitz and Tettau,786612217,Start,,
605,Czech Republic,Luboš Dobrovský,787952395,Stub,,
606,Czech Republic,Bedřich Moldan,787952868,Stub,,
607,Czech Republic,Martin Palouš,788015952,Start,,
608,Czech Republic,Hermann Zwierzina,788121309,Stub,,
609,Czech Republic,Eduard Zeman,788178766,Stub,,
610,Czech Republic,Richard Bienert,788410657,Start,,
611,Czech Republic,Václav Hampl,789102318,Start,,
612,Czech Republic,Miroslav Grebeníček,789546047,Stub,,
613,Czech Republic,Vlasta Štěpová,789546066,Stub,,
614,Czech Republic,Egon Lánský,789546079,Start,,
615,Czech Republic,Antonín Prachař,789546102,Stub,,
616,Czech Republic,Milan Horálek,789546147,Stub,,
617,Czech Republic,Antonín Novotný,790372008,C,,
618,Czech Republic,Zuzana Brzobohatá,790608148,Stub,,
619,Czech Republic,Alena Palečková,790608180,Stub,,
620,Czech Republic,Zuzana Roithová,790608186,Start,,
621,Czech Republic,"List of MPs elected in the Czech legislative election, 2017",790838510,Stub,,
622,Czech Republic,Martin Jahn,791374581,Start,,
623,Czech Republic,Pavel Rychetský,792417439,Stub,,
624,Czech Republic,Gustáv Slamečka,792476721,Start,,
625,Czech Republic,Edvard Kožušník,793087579,Stub,,
626,Czech Republic,Jan Masaryk,793642926,C,,
627,Czech Republic,Jan Koukal,794146543,Stub,,
628,Czech Republic,Pavel Bém,794995687,Start,,
629,Czech Republic,"List of MPs elected in the Czech legislative election, 2013",795098385,C,,
630,Czech Republic,Vít Bárta,795377941,Stub,,
631,Czech Republic,Karl Kautsky,795807571,C,,
632,Czech Republic,Karl von Czyhlarz,795809115,Stub,,
633,Czech Republic,Václav Fresl,796253432,Stub,,
634,Czech Republic,Josef Václav Frič,796403608,Start,,
635,Czech Republic,Tomáš Zdechovský,796749458,C,,
636,Czech Republic,Andrea Češková,796751775,Stub,,
637,Czech Republic,Dana Kuchtová,796752629,Stub,,
638,Czech Republic,Rudolf Margolius,796825099,C,,
639,Czech Republic,František Ladislav Rieger,797539957,C,,
640,Czech Republic,Petr Mach,797842545,Start,,
641,Czech Republic,Jaroslava Moserová,798490261,Start,,
642,Czech Republic,Vávra Suk,798648973,Stub,,
643,Czech Republic,Vojtěch Náprstek,798686948,C,,
644,Czech Republic,Lubomír Štrougal,798705619,Start,,
645,Czech Republic,Jan Krejčí,798796793,B,,
646,Czech Republic,Radek John,798944631,Stub,,
647,Czech Republic,Jan Jesenius,799301686,C,,
648,Czech Republic,Josef Ježek,800555146,Start,,
649,Czech Republic,Jana Bobošíková,800754664,Start,,
650,Czech Republic,Franz Anton von Kolowrat-Liebsteinsky,800883412,Start,,
651,Czech Republic,Viktor Dyk,800925236,C,,
652,Czech Republic,Alois Jirásek,800925518,C,,
653,Czech Republic,"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",801939668,Start,,
654,Czech Republic,Adriana Krnáčová,801972898,Start,,
655,Czech Republic,Ondřej Liška,802013967,Stub,,
656,Czech Republic,Marcel Chládek,802054500,Stub,,
657,Czech Republic,Miroslava Kopicová,802055280,Stub,,
658,Czech Republic,Milan Chovanec,802060218,Stub,,
659,Czech Republic,František Bublan,802060471,Stub,,
660,Czech Republic,Jiří Dienstbier Jr.,802069244,C,,
661,Czech Republic,Táňa Fischerová,802360196,C,,
662,Czech Republic,Václav Jehlička,802365998,Stub,,
663,Czech Republic,Viliam Široký,802416926,Stub,,
664,Czech Republic,Miroslav Lidinský,802531379,Start,,
665,Czech Republic,Petr Cibulka,802834939,Start,,
666,Czech Republic,Anna Šabatová,802875800,Stub,,
667,Czech Republic,Adolph Aloys von Braun,803332354,C,,
668,Czech Republic,Dana Bérová,803438779,Stub,,
669,Czech Republic,František Palacký,803658529,C,,
670,Czech Republic,Miroslav Kostelka,803709959,Stub,,
671,Czech Republic,Martin Barták,803793256,Stub,,
672,Czech Republic,Karolína Peake,803794383,Start,,
673,Czech Republic,Petr Ježek,803983301,Start,,
674,Czech Republic,František Udržal,804093764,Stub,,
675,Czech Republic,Václav Havel,804569724,C,,
676,Czech Republic,Pavel Fischer,804582256,Stub,,
677,Czech Republic,Eva Tylová,804591494,Stub,,
678,Czech Republic,Dana Jurásková,804715205,Stub,,
679,Czech Republic,Svatopluk Němeček,804715467,Stub,,
680,Czech Republic,Richard Brabec,804820949,Stub,,
681,Czech Republic,Jan Fischer (politician),804868436,C,,
682,Czech Republic,Martin Pecina,804869147,Stub,,
683,Czech Republic,Vlasta Parkanová,804871394,Stub,,
684,Czech Republic,Martin Bursík,804879673,Start,,
685,Czech Republic,Lubomír Zaorálek,805037426,Start,,
686,Czech Republic,Radola Gajda,805084705,C,,
687,Czech Republic,Karel Schwarzenberg,805176779,C,,
688,Czech Republic,Vlasta Svobodová,805179298,Stub,,
689,Czech Republic,Ondřej Přikryl,805352758,Start,,
690,Czech Republic,Milada Horáková,805439919,C,,
691,Czech Republic,Martin Holcát,805824502,Stub,,
692,Czech Republic,Alena Dernerová,805946007,Stub,,
693,Czech Republic,Marian Jurečka,806049453,Stub,,
694,Czech Republic,Pavel Bělobrádek,806085100,Stub,,
695,Czech Republic,Dan Ťok,806231200,Stub,,
696,Czech Republic,Jiří Dienstbier,806490518,Stub,,
697,Czech Republic,Rudolf Slánský,806504904,C,,
698,Czech Republic,Alexandr Vondra,806537585,C,,
699,Czech Republic,Jaroslav Šedivý,806538241,Stub,,
700,Czech Republic,Cyril Svoboda,806538320,C,,
701,Czech Republic,Jan Kohout,806539480,Stub,,
702,Czech Republic,Miloš Vystrčil,806558617,Stub,,
703,Czech Republic,Alois Eliáš,806566913,C,,
704,Czech Republic,Jan Skopeček (politician),806569308,Stub,,
705,Czech Republic,Miloslav Ludvík,806586185,Stub,,
706,Czech Republic,Martin Kupka,806636602,Stub,,
707,Czech Republic,Matěj Stropnický,806650264,Stub,,
708,Czech Republic,Petr Šimerka,806669645,Stub,,
709,Czech Republic,Jaromír Drábek,806669709,Stub,,
710,Czech Republic,Ludmila Müllerová,806669752,Stub,,
711,Czech Republic,Jan Veleba (politician),806672899,Stub,,
712,Czech Republic,František Ringo Čech,806673245,Stub,,
